city,restaurant,wine_section,wine_name
Austin,Nido,wine by the glass,Nigl “Piri” Trocken Riesling Kremstal 2017   68
Austin,Nido,wine by the glass,HALF BOTTLE Lucien Crochet  Sauvignon Blanc Sancerre  2022  72
Austin,Nido,wine by the glass,OTHER FRANCE Le Puy Marie-Cécile  Sauvingnon Blanc Bordeaux Blanc 2022  235
Austin,Nido,wine by the glass,Valentin Morel  Les Pieds sur Terre  Chardonnay  Les Trouillots   Jura 2019  135
Austin,Nido,wine by the glass,"ALSACE Trimbach Grand Cru “Schlossberg”  Riesling,  2019   240"
Austin,Nido,wine by the glass,"Trimbach “ Reserve”  Pinot Gris,  2017   95"
Austin,Nido,wine by the glass,"Domaine Valentin Zusslin “ Schild” Riesling,  2020   90"
Austin,Nido,wine by the glass,"Domaine Weinbach Riesling, 2020   78"
Austin,Nido,wine by the glass,"California re ds CABERNET Cakebread, Napa 2021                                               220"
Austin,Nido,wine by the glass,MERLOT Keenan Estate Napa 2006   250
Austin,Nido,wine by the glass,MAGNUM Keenan Estate Merlot Napa 2000   450
Austin,Nido,wine by the glass,"CABERNET FRANC Favia “Cerro Sur”, 2015   595"
Austin,Nido,wine by the glass,PINOT NOIR Au Bon Climat “Runway Vineyard” Santa Maria Valley  2020   145
Austin,Nido,wine by the glass,Failla Pinot Noir Sonoma Coast  2023   105
Austin,Nido,wine by the glass,"Other New World reds OREGON PINOT NOIR Evening Land “Seven Springs”, Eola-Amity Hills, Willamette Valley 2022   140"
Austin,Nido,wine by the glass,"Roserock, Eola-Amity Hills, Willamette Valley  2023   105"
Austin,Nido,wine by the glass,HALF BOTTLE Siduri Pinot Noir Willamette Valley  2021   55
Austin,Nido,wine by the glass,Chacra Barda Pinot Noir Patagonia Argentina 2021   110
Austin,Nido,wine by the glass,"MEXICO Solar Fortun “O Positivo” Cabernet-Syrah, Valle de Guadalupe  2020   100"
Austin,Nido,wine by the glass,Palafox Pionero Tempranillo Blend Valle de Guadalupe  2022   85
Austin,Nido,wine by the glass,"Monte Xanic “Ricardo” Cabernet Sauvignon, Baja California 2021   155"
Austin,Nido,wine by the glass,"AUSTRALIA | NEW ZEALAND | SOUTH AFRICA Moorooduc Estate Pinot Noir, Mornington Peninsula, Australia 2018   115"
Austin,Nido,wine by the glass,"Tolpuddle Pinot Noir, Tasmania, Australia 2021   200"
Austin,Nido,wine by the glass,"Farm To Table Cabernet Sauvignon, Victoria, Austrailia 2019                              68"
Austin,Nido,wine by the glass,Pyramid Valley Pinot Noir Otango Valley New Zealand 2018   145
Austin,Nido,wine by the glass,Trimbach Pinot Noir Réserve Alsace  2017   180
Austin,Nido,wine by the glass,"ANCIENT REGIONS Chateau Musar Cabernet, Bekka Valley, Lebannon 2003   310"
Austin,Nido,wine by the glass,"Movia Cabernet Sauvignon, Brda, Slovenia, 2019   80"
Austin,Nido,wine by the glass,"Bordeaux & Loire reds BORDEAUX LEFT BANK Château Montrose 2éme Cru, Saint-Estèphe 2014   375"
Austin,Nido,wine by the glass,BORDEAUX RIGHT BANK Closerie Saint-Roc Les Noyers  Bordeaux  2015   230
Austin,Nido,wine by the glass,Closerie du Pelan Francs-Côtes-de-Bordeaux  1999   180
Austin,Nido,wine by the glass,Le Puy “Emilien” Francs-Côtes-de-Bordeaux  2019   185
Austin,Nido,wine by the glass,Le Puy  “Barthélemy”  Francs-Côtes-de-Bordeaux 2001| 1994   1200 | 1500
Austin,Nido,wine by the glass,"LOIRE Catherine & Pierre Breton Cabernet Franc “La Dilettante”, Bourgueil  2022   110"
Austin,Nido,wine by the glass,"Château Yvonne “La Folie” Cabernet Franc, Saumur-Champigny  2022   100"
Austin,Nido,wine by the glass,"Arnaud Lambert “Terres Rouges” Cabernet Franc, Saumur-Champigny  2021   75"
Austin,Nido,wine by the glass,Les Athelètes du Vin Cabernet Franc Chinon   2020   78
Austin,Nido,wine by the glass,Remoortere Pinot Noir Menetou-Salon   2022   95
Austin,Nido,wine by the glass,Paul Prieur et Fils Les Pichons Pinot Noir Sancerre   2021   145
Austin,Nido,wine by the glass,MAGNUM Catherine & Pierre Breton Cabernet Franc Trinch!  Bourgueil  2022   170
Austin,Nido,wine by the glass,Domaine Rougeot Clos de Roses  Pommard  2021   205
Austin,Nido,wine by the glass,Italian reds BAROLO Brovia Brea vigna ca’mia  Barolo 2019   350
Austin,Nido,wine by the glass,Paolo Scavino Ravera  Barolo 2017   195
Austin,Nido,wine by the glass,Oddero Vignarionda Riserva  Barolo 2016   600
Austin,Nido,wine by the glass,Bava Scarrone  Barolo 2013   220
Austin,Nido,wine by the glass,Chiara Boschis Via Nuova  Barolo 2019   260
Austin,Nido,wine by the glass,Elio Altare Cerretta  Barolo Riserva 2017   300
Austin,Nido,wine by the glass,MAGNUM Elio Altare Nebbiolo Barolo 2020   325
Austin,Nido,wine by the glass,"Poggio delle Rose Riserva, Chianti Classico  2010   250"
Austin,Nido,dessert wine by the glass,Frapin Fontpinot X.O. 35
